accession	runtype	species	genome_size
SRX7614531	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10163200	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598036	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459222	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843757	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598008	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5795062	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843721	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3365544	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1116426	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2376356	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459228	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843176	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1662528	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
